,0
G  G,wireless-telecommunications
GTN.,broadcasting
NXST,broadcasting
SBGI,broadcasting
SIRI,broadcasting
SSP,broadcasting
TGNA,broadcasting
TV,broadcasting
UONE,broadcasting
VIAC,broadcasting
ALLE,building-products
AMWD,building-products
AOS,building-products
AWI,building-products
BLD,building-products
BLDR,building-products
DOOR,building-products
FBHS,building-products
LII,building-products
MAS,building-products
N  N,wholesale-distributors
SSD,building-products
WSO,building-products
AMCX,cable-satellite-tv
ATUS,cable-satellite-tv
CABO,cable-satellite-tv
CHTR,cable-satellite-tv
CMCS,cable-satellite-tv
DIS,cable-satellite-tv
DISC,cable-satellite-tv
DISH,cable-satellite-tv
LBRD,cable-satellite-tv
LBTY,cable-satellite-tv
LILA,cable-satellite-tv
NFLX,cable-satellite-tv
SJR,cable-satellite-tv
BYD,casinos-gaming
CHDN,casinos-gaming
CZR,casinos-gaming
EVRI,casinos-gaming
GRVY,casinos-gaming
IGT,casinos-gaming
LVS,casinos-gaming
MGM,casinos-gaming
MLCO,casinos-gaming
MSC,casinos-gaming
PENN,casinos-gaming
SGMS,casinos-gaming
WYNN,casinos-gaming
Y  Y,water-utilities
CF,chemicals-agricultural
FMC,chemicals-agricultural
ICL,chemicals-agricultural
LAC,chemicals-agricultural
MOS,chemicals-agricultural
NTR,chemicals-agricultural
SMG,chemicals-agricultural
SQM,chemicals-agricultural
YTEN,chemicals-agricultural
CE,chemicals-major-diversified
DD,chemicals-major-diversified
EMN,chemicals-major-diversified
ESI,chemicals-major-diversified
HUN,chemicals-major-diversified
NGVT,chemicals-major-diversified
VVV,chemicals-major-diversified
WLK,chemicals-major-diversified
ALB,chemicals-specialty
AMRS,chemicals-specialty
AMTX,chemicals-specialty
APD,chemicals-specialty
ASH,chemicals-specialty
BAK,chemicals-specialty
BCPC,chemicals-specialty
CMP,chemicals-specialty
DQ,chemicals-specialty
ECL,chemicals-specialty
GEVO,chemicals-specialty
GRA,chemicals-specialty
IOSP,chemicals-specialty
KRO,chemicals-specialty
KWR,chemicals-specialty
LIN,chemicals-specialty
LTHM,chemicals-specialty
LYB,chemicals-specialty
MEOH,chemicals-specialty
MTX,chemicals-specialty
NEU,chemicals-specialty
OEC,chemicals-specialty
PQG,chemicals-specialty
REGI,chemicals-specialty
ROG,chemicals-specialty
SCL,chemicals-specialty
SHI,chemicals-specialty
SSL,chemicals-specialty
TROX,chemicals-specialty
ARCH,coal
ARLP,coal
BTU,coal
HCC,coal
CMPR,commercial-printing-forms
DLX,commercial-printing-forms
DSS,commercial-printing-forms
MTA,commercial-printing-forms
AAOI,computer-communications
ANET,computer-communications
FFIV,computer-communications
FTNT,computer-communications
PANW,computer-communications
LOGI,computer-peripherals
NTAP,computer-peripherals
PSTG,computer-peripherals
SSYS,computer-peripherals
STX,computer-peripherals
WDC,computer-peripherals
XRX,computer-peripherals
ZBRA,computer-peripherals
DELL,computer-processing-hardware
HPE,computer-processing-hardware
HPQ,computer-processing-hardware
NCR,computer-processing-hardware
CRH,construction-materials
CX,construction-materials
EXP,construction-materials
JHX,construction-materials
LOMA,construction-materials
MLM,construction-materials
SUM,construction-materials
VMC,construction-materials
CENT,consumer-sundries
ARD,containers-packaging
ATR,containers-packaging
AVY,containers-packaging
BERY,containers-packaging
BLL,containers-packaging
CCK,containers-packaging
GEF,containers-packaging
GPK,containers-packaging
IP,containers-packaging
OC,containers-packaging
OI,containers-packaging
PKG,containers-packaging
SEE,containers-packaging
SLGN,containers-packaging
SON,containers-packaging
WRK,containers-packaging
HP,contract-drilling
NBR,contract-drilling
PTEN,contract-drilling
RIG,contract-drilling
ADP,data-processing-services
ADS,data-processing-services
BCOR,data-processing-services
CLGX,data-processing-services
CSGS,data-processing-services
DBX,data-processing-services
DXC,data-processing-services
EEFT,data-processing-services
EQIX,data-processing-services
EVTC,data-processing-services
EXLS,data-processing-services
FDS,data-processing-services
FIS,data-processing-services
FISV,data-processing-services
FLNT,data-processing-services
GDS,data-processing-services
GPN,data-processing-services
INFO,data-processing-services
INOV,data-processing-services
MARA,data-processing-services
MOXC,data-processing-services
MSCI,data-processing-services
PAYX,data-processing-services
PFPT,data-processing-services
PYPL,data-processing-services
QIWI,data-processing-services
RAMP,data-processing-services
TYL,data-processing-services
WEX,data-processing-services
YEXT,data-processing-services
ZEN,data-processing-services
DDS,department-stores
KSS,department-stores
OLLI,department-stores
BIG,discount-stores
DG,discount-stores
DLTR,discount-stores
FIVE,discount-stores
PSMT,discount-stores
CVS,drugstore-chains
PETS,drugstore-chains
RAD,drugstore-chains
WBA,drugstore-chains
AEE,electric-utilities
AEP,electric-utilities
AES,electric-utilities
AGR,electric-utilities
ALE,electric-utilities
AQN,electric-utilities
AVA,electric-utilities
BEP,electric-utilities
BKH,electric-utilities
BWXT,electric-utilities
CEPU,electric-utilities
CIG,electric-utilities
CIG.,electric-utilities
CMS,electric-utilities
CMSA,electric-utilities
CMSC,electric-utilities
CNP,electric-utilities
DCUE,electric-utilities
DRUA,electric-utilities
DTE,electric-utilities
DTJ,electric-utilities
DTP,electric-utilities
DTW,electric-utilities
DTY,electric-utilities
DUK,electric-utilities
DUKB,electric-utilities
DUKH,electric-utilities
EBR,electric-utilities
EBR.,electric-utilities
ED,electric-utilities
EDN,electric-utilities
EIX,electric-utilities
ELP,electric-utilities
ENIA,electric-utilities
ENIC,electric-utilities
ES,electric-utilities
ETR,electric-utilities
EVRG,electric-utilities
EXC,electric-utilities
FE,electric-utilities
FTS,electric-utilities
HE,electric-utilities
HNP,electric-utilities
IDA,electric-utilities
KEP,electric-utilities
LNT,electric-utilities
MGEE,electric-utilities
NEE,electric-utilities
NGG,electric-utilities
NRG,electric-utilities
NWE,electric-utilities
OGE,electric-utilities
OTTR,electric-utilities
PAM,electric-utilities
PCG,electric-utilities
PCGU,electric-utilities
PEG,electric-utilities
PNM,electric-utilities
PNW,electric-utilities
POR,electric-utilities
PPL,electric-utilities
SO,electric-utilities
SOJB,electric-utilities
SOJC,electric-utilities
SOLN,electric-utilities
TAC,electric-utilities
VST,electric-utilities
VVPR,electric-utilities
WEC,electric-utilities
XEL,electric-utilities
ABB,electrical-products
AME,electrical-products
AYI,electrical-products
BDC,electrical-products
BE,electrical-products
BLDP,electrical-products
