,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
96,GBDC,Golub Lawrence E,Chairman,"Jun 10, 2021",$15.54,5000,77681,2213401,"Jun 11, 2021, 08:49 AM",buy
97,GBDC,Golub Lawrence E,Chairman,"Jun 09, 2021",$15.91,5000,79566,2208401,"Jun 11, 2021, 08:49 AM",buy
98,GBDC,Golub David,Chief Executive Officer,"Jun 09, 2021",$15.91,5000,79566,2208401,"Jun 11, 2021, 08:47 AM",buy
99,GBDC,Golub David,Chief Executive Officer,"Jun 10, 2021",$15.54,5000,77681,2213401,"Jun 11, 2021, 08:47 AM",buy
100,MJNE,Moyle Bernard Thomas,Chief Financial Officer,"Apr 22, 2021",$0.56,200,113,528200,"Jun 11, 2021, 07:30 AM",buy
1,EVFM,File Justin J.,Chief Financial Officer,"Jun 10, 2021",$1.03,24500,25235,440388,"Jun 10, 2021, 07:30 PM",buy
2,EVFM,PELLETIER SAUNDRA L,Chief Executive Officer,"Jun 10, 2021",$1.03,50000,51500,850837,"Jun 10, 2021, 07:30 PM",buy
3,EVFM,Fitzpatrick Alexander A,General Counsel and Secretary,"Jun 10, 2021",$1.02,10000,10250,311422,"Jun 10, 2021, 07:29 PM",buy
4,NICK,Peterson Adam K,Director,"Jun 09, 2021",$11.14,18050,201077,2183339,"Jun 10, 2021, 06:55 PM",buy
5,HYMC,RIDEOUT STANTON K,Executive Vice President & CFO,"Jun 08, 2021",$3.50,55000,192500,201094,"Jun 10, 2021, 06:41 PM",buy
6,HYMC,GARRETT DIANE R,"President, CEO & Director","Jun 08, 2021",$3.50,55000,192500,366615,"Jun 10, 2021, 06:40 PM",buy
7,HYMC,Harrison Michael James,Director,"Jun 08, 2021",$3.50,7500,26250,40109,"Jun 10, 2021, 06:39 PM",buy
8,SYNL,Privet Fund Management LLC,10% Owner,"Jun 10, 2021",$10.57,15000,158521,1627120,"Jun 10, 2021, 05:43 PM",buy
9,SYNL,Privet Fund Management LLC,10% Owner,"Jun 09, 2021",$10.28,5665,58225,1612120,"Jun 10, 2021, 05:43 PM",buy
10,SYNL,Privet Fund Management LLC,10% Owner,"Jun 08, 2021",$10.06,14737,148312,1606455,"Jun 10, 2021, 05:43 PM",buy
11,SREV,"Edenbrook Capital, LLC",10% Owner,"Jun 08, 2021",$1.19,6957,8266,19277581,"Jun 10, 2021, 05:26 PM",buy
12,ELDN,Gros David-Alexandre C,Chief Executive Officer,"Jun 09, 2021",$8.01,3000,24030,3000,"Jun 10, 2021, 05:25 PM",buy
13,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 08, 2021",$5.59,50,280,2164250,"Jun 10, 2021, 05:22 PM",buy
14,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 08, 2021",$5.59,50,280,2164250,"Jun 10, 2021, 05:22 PM",buy
15,RCG,Kesslen Jay H,President and CEO,"Sep 22, 2020",$1.32,2500,3300,11500,"Jun 10, 2021, 05:18 PM",buy
16,RCG,Kesslen Jay H,President and CEO,"Dec 18, 2017",$1.60,1000,1600,2000,"Jun 10, 2021, 05:18 PM",buy
17,RCG,Kesslen Jay H,President and CEO,"Jul 01, 2020",$1.29,4000,5160,9000,"Jun 10, 2021, 05:18 PM",buy
18,RCG,Kesslen Jay H,President and CEO,"Dec 15, 2017",$1.47,1000,1470,1000,"Jun 10, 2021, 05:18 PM",buy
19,RCG,Kesslen Jay H,President and CEO,"Feb 20, 2019",$1.47,2000,2940,5000,"Jun 10, 2021, 05:18 PM",buy
20,RCG,Kesslen Jay H,President and CEO,"Oct 07, 2020",$1.33,2000,2660,13500,"Jun 10, 2021, 05:18 PM",buy
21,RCG,Kesslen Jay H,President and CEO,"Dec 19, 2017",$1.56,1000,1560,3000,"Jun 10, 2021, 05:18 PM",buy
22,FRG,Cozza Patrick A,Director,"Jun 09, 2021",$37.32,4000,149280,26459,"Jun 10, 2021, 05:14 PM",buy
23,HVBC,Connelly Hugh W,EVP/CLO,"Jun 08, 2021",$20.25,500,10125,1884,"Jun 10, 2021, 05:01 PM",buy
24,VKTX,FOEHR MATTHEW W,Director,"Jun 10, 2021",$5.69,20000,113800,66250,"Jun 10, 2021, 04:57 PM",buy
25,FDP,Beard Charles Jr.,Director,"Jun 08, 2021",$34.97,700,24479,5522,"Jun 10, 2021, 04:53 PM",buy
26,RCG,Williams Alun,Treasurer,"May 24, 2021",$2.71,100,271,100,"Jun 10, 2021, 04:50 PM",buy
27,RCG,Russell Grimaldi,Secretary,"Jun 02, 2021",$2.64,400,1056,400,"Jun 10, 2021, 04:41 PM",buy
28,HSON,Eberwein Jeffrey E.,Chief Executive Officer,"Jun 08, 2021",$18.42,500,9210,143153,"Jun 10, 2021, 04:31 PM",buy
29,HSON,Eberwein Jeffrey E.,Chief Executive Officer,"Jun 10, 2021",$19.02,500,9510,144153,"Jun 10, 2021, 04:31 PM",buy
30,HSON,Eberwein Jeffrey E.,Chief Executive Officer,"Jun 09, 2021",$18.27,500,9135,143653,"Jun 10, 2021, 04:31 PM",buy
31,GPOR,Silver Point Capital L.P.,Director,"Jun 09, 2021",$61.50,25000,1537500,8959669,"Jun 10, 2021, 04:30 PM",buy
32,GPOR,Silver Point Capital L.P.,Director,"Jun 08, 2021",$61.50,275000,16912500,8934669,"Jun 10, 2021, 04:30 PM",buy
33,CSV,Metzger Steven D,Chief Administration Officer,"Jun 10, 2021",$38.19,1000,38190,6021,"Jun 10, 2021, 04:15 PM",buy
34,PRPH,Karkus Ted William,CEO & CHAIRMAN,"Jun 03, 2021",$5.07,33943,171921,2333471,"Jun 10, 2021, 04:01 PM",buy
35,DLTR,NAYLOR JEFFREY G,Director,"Jun 09, 2021",$99.16,2500,247900,11500,"Jun 10, 2021, 04:00 PM",buy
36,TPL,STAHL MURRAY,Director,"Jun 09, 2021",$1522.00,10,15220,838,"Jun 10, 2021, 03:03 PM",buy
37,TPL,STAHL MURRAY,Director,"Jun 09, 2021",$1522.00,12,18264,228255,"Jun 10, 2021, 03:03 PM",buy
38,TPL,STAHL MURRAY,Director,"Jun 09, 2021",$1522.00,1,1522,1337,"Jun 10, 2021, 03:03 PM",buy
39,TPL,STAHL MURRAY,Director,"Jun 09, 2021",$1522.00,3,4566,1175,"Jun 10, 2021, 03:03 PM",buy
40,TPL,STAHL MURRAY,Director,"Jun 09, 2021",$1522.00,2,3044,102287,"Jun 10, 2021, 03:03 PM",buy
41,TPL,STAHL MURRAY,Director,"Jun 09, 2021",$1522.00,1,1522,42859,"Jun 10, 2021, 03:03 PM",buy
42,PFSI,"MFN Partners, LP",Director,"Jun 08, 2021",$61.85,38743,2396254,3008743,"Jun 10, 2021, 02:45 PM",buy
43,NKSH,Green Charles E III,Director,"Jun 10, 2021",$35.45,1000,35450,46238,"Jun 10, 2021, 02:05 PM",buy
44,NKSH,Green Charles E III,Director,"May 28, 2021",$34.99,1000,34990,45238,"Jun 10, 2021, 02:05 PM",buy
45,OPOF,Wash Elizabeth S,Director,"Jun 08, 2021",$23.73,200,4746,200,"Jun 10, 2021, 01:29 PM",buy
46,RCG,STAHL MURRAY,President and CEO,"Jun 09, 2021",$2.60,300,780,156850,"Jun 10, 2021, 11:13 AM",buy
47,RCG,STAHL MURRAY,President and CEO,"Jun 09, 2021",$2.60,300,780,156550,"Jun 10, 2021, 11:13 AM",buy
48,RCG,STAHL MURRAY,President and CEO,"Jun 09, 2021",$2.60,75,195,156250,"Jun 10, 2021, 11:13 AM",buy
49,FRST,COOK WILLIAM RAND,Director,"Jun 09, 2021",$15.53,1650,25624,18001,"Jun 10, 2021, 10:44 AM",buy
50,MMLP,Shoup Scot A,Senior VP Operations,"Jun 09, 2021",$2.71,423,1144,25097,"Jun 10, 2021, 10:42 AM",buy
51,MMLP,MARTIN RUBEN S,Director,"Jun 09, 2021",$2.71,522,1412,464036,"Jun 10, 2021, 10:42 AM",buy
52,MMLP,BONDURANT ROBERT D,President and CEO,"Jun 09, 2021",$2.71,817,2210,117764,"Jun 10, 2021, 10:42 AM",buy
53,CNNE,Coy Bryan D.,Chief Financial Officer,"Jun 09, 2021",$34.82,1000,34824,3000,"Jun 10, 2021, 10:36 AM",buy
54,USQIX,Mann Havilah Stewart,Director,"Jun 08, 2021",$25.17,139,3499,1369,"Jun 10, 2021, 10:36 AM",buy
55,ORI,KOVALESKI CHARLES J,Director,"Jun 09, 2021",$26.46,250,6615,11701,"Jun 10, 2021, 10:32 AM",buy
56,BBDC,McDonnell Thomas,Vice President,"Jun 09, 2021",$10.53,3000,31590,8000,"Jun 10, 2021, 10:31 AM",buy
57,USQIX,Fairchild Gregory B.,Director,"Jun 08, 2021",$25.17,397,9992,3795,"Jun 10, 2021, 10:29 AM",buy
58,ATLO,Hagan Patrick G,Director,"Jun 10, 2021",$25.35,200,5070,3786,"Jun 10, 2021, 10:24 AM",buy
59,ATLO,LARSON JAMES R II,Director,"Jun 09, 2021",$25.20,300,7560,7000,"Jun 10, 2021, 09:29 AM",buy
60,RPHM,Muralidhar Bali,Director,"Jun 08, 2021",$9.50,16605,157709,1894237,"Jun 10, 2021, 09:00 AM",buy
61,NHF,DONDERO JAMES D,See Remarks,"Jun 07, 2021",$13.68,5952,81423,2194986,"Jun 09, 2021, 08:32 PM",buy
62,NHF,DONDERO JAMES D,See Remarks,"Jun 08, 2021",$13.75,6225,85594,2201211,"Jun 09, 2021, 08:32 PM",buy
63,TELA,"EW HEALTHCARE PARTNERS FUND 2, L.P.",See footnote 2,"Jun 07, 2021",$12.99,10000,129900,1704262,"Jun 09, 2021, 08:20 PM",buy
64,WMPN,Hannigan Amy Jean,EVP & Dir. Corp. Development,"Jun 09, 2021",$11.34,2500,28354,7500,"Jun 09, 2021, 07:45 PM",buy
65,WMPN,Hannigan Amy Jean,EVP & Dir. Corp. Development,"Jun 09, 2021",$11.34,2500,28354,7500,"Jun 09, 2021, 07:45 PM",buy
66,ALK,KNIGHT JESSIE J JR,Director,"Jun 08, 2021",$66.26,1200,79511,4987,"Jun 09, 2021, 07:42 PM",buy
67,LULU,MORFITT MARTHA A M,Director,"Jun 08, 2021",$330.00,4800,1584000,90154,"Jun 09, 2021, 07:17 PM",buy
68,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 07, 2021",$1.55,500,775,10756915,"Jun 09, 2021, 06:19 PM",buy
69,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 08, 2021",$1.61,1000,1610,10757915,"Jun 09, 2021, 06:19 PM",buy
70,BRST,Neal Daniel J W,Director,"Jun 08, 2021",$1.85,2000,3700,736415,"Jun 09, 2021, 05:31 PM",buy
71,ASAN,Moskovitz Dustin A.,"President, CEO, & Chair","Jun 08, 2021",$39.28,250000,9820730,1300000,"Jun 09, 2021, 05:16 PM",buy
72,ASAN,Moskovitz Dustin A.,"President, CEO, & Chair","Jun 07, 2021",$39.69,250000,9922856,1050000,"Jun 09, 2021, 05:16 PM",buy
73,SVVC,Landis Kevin M,President,"Jun 08, 2021",$5.61,2000,11220,621429,"Jun 09, 2021, 04:54 PM",buy
74,AGM,Engebretsen James R,Director,"Jun 08, 2021",$101.46,4806,487600,11912,"Jun 09, 2021, 04:24 PM",buy
75,AGM,Engebretsen James R,Director,"Jun 07, 2021",$100.50,194,19497,7106,"Jun 09, 2021, 04:24 PM",buy
76,ENRT,McAllister Robert,Director,"Jun 09, 2021",$0.05,400000,20000,6905000,"Jun 09, 2021, 04:20 PM",buy
77,GIM,"Saba Capital Management, L.P.",10% Owner,"Jun 08, 2021",$5.63,52628,296296,24970753,"Jun 09, 2021, 03:10 PM",buy
78,UWMC,Verdun Robert,Director,"Jun 08, 2021",$9.15,25000,228750,161000,"Jun 09, 2021, 01:43 PM",buy
79,UWMC,Verdun Robert,Director,"Jun 07, 2021",$9.10,25000,227500,136000,"Jun 09, 2021, 01:43 PM",buy
80,NRIM,Karp David W,Director,"Jun 09, 2021",$44.68,550,24574,5186,"Jun 09, 2021, 01:28 PM",buy
81,QNBC,Freeman David W.,President / CEO,"May 28, 2021",$27.36,478,13078,18650,"Jun 09, 2021, 12:20 PM",buy
82,RCG,STAHL MURRAY,President & CEO,"Jun 08, 2021",$2.54,300,761,155875,"Jun 09, 2021, 11:06 AM",buy
83,RCG,STAHL MURRAY,President & CEO,"Jun 08, 2021",$2.54,75,190,155575,"Jun 09, 2021, 11:06 AM",buy
84,RCG,STAHL MURRAY,President & CEO,"Jun 08, 2021",$2.54,300,761,156175,"Jun 09, 2021, 11:06 AM",buy
85,TPL,STAHL MURRAY,Director,"Jun 08, 2021",$1532.83,1,1533,42858,"Jun 09, 2021, 10:50 AM",buy
86,TPL,STAHL MURRAY,Director,"Jun 08, 2021",$1532.83,10,15328,828,"Jun 09, 2021, 10:50 AM",buy
87,TPL,STAHL MURRAY,Director,"Jun 08, 2021",$1532.83,12,18394,228243,"Jun 09, 2021, 10:50 AM",buy
88,TPL,STAHL MURRAY,Director,"Jun 08, 2021",$1532.83,1,1533,1336,"Jun 09, 2021, 10:50 AM",buy
89,TPL,STAHL MURRAY,Director,"Jun 08, 2021",$1532.83,3,4598,1172,"Jun 09, 2021, 10:50 AM",buy
90,TPL,STAHL MURRAY,Director,"Jun 08, 2021",$1532.83,2,3066,102285,"Jun 09, 2021, 10:50 AM",buy
91,CRC,ARES MANAGEMENT LLC,10% Owner,"Jun 04, 2021",$30.21,138000,4168980,16584587,"Jun 08, 2021, 07:29 PM",buy
92,ASUR,Drew William Carl,Director,"Jun 04, 2021",$8.15,20000,163000,37165,"Jun 08, 2021, 06:56 PM",buy
93,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 04, 2021",$5.77,400,2308,2160400,"Jun 08, 2021, 06:29 PM",buy
94,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 07, 2021",$5.66,3800,21497,2164200,"Jun 08, 2021, 06:29 PM",buy
95,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 04, 2021",$5.77,400,2308,2160400,"Jun 08, 2021, 06:29 PM",buy
96,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 07, 2021",$5.66,3800,21497,2164200,"Jun 08, 2021, 06:29 PM",buy
97,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 07, 2021",$867.20,1300,1127360,80579,"Jun 08, 2021, 06:13 PM",buy
98,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 04, 2021",$816.81,373,304670,79279,"Jun 08, 2021, 06:13 PM",buy
99,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 08, 2021",$910.96,102,92918,80681,"Jun 08, 2021, 06:13 PM",buy
100,APTS,Finley Sara,Director,"Jun 07, 2021",$10.51,5000,52550,32594,"Jun 08, 2021, 05:59 PM",buy
1,STAY,Anand Kapila K,Director,"Jun 16, 2021",$18.75,1500,28125,0,"Jun 17, 2021, 09:59 PM",sell
2,STAY,Anand Kapila K,Director,"Jun 16, 2021",$18.75,41001,768769,0,"Jun 17, 2021, 09:59 PM",sell
3,ACEL,Harmer Derek,Secretary,"Jun 15, 2021",$12.23,8000,97840,155253,"Jun 17, 2021, 09:50 PM",sell
4,NLTX,Walkey Carl,Senior Vice President,"Jun 16, 2021",$10.19,600,6114,1352489,"Jun 17, 2021, 09:46 PM",sell
5,OTRK,PEIZER TERREN S,Executive Chairman,"Jun 15, 2021",$32.34,11000,355783,9376886,"Jun 17, 2021, 09:45 PM",sell
6,OTRK,PEIZER TERREN S,Executive Chairman,"Jun 17, 2021",$33.99,11000,373871,9358725,"Jun 17, 2021, 09:45 PM",sell
7,OTRK,PEIZER TERREN S,Executive Chairman,"Jun 16, 2021",$33.22,11000,365408,9368336,"Jun 17, 2021, 09:45 PM",sell
8,KIN,Chin Richard,Chief Executive Officer,"Jun 16, 2021",$9.18,40000,367268,1934271,"Jun 17, 2021, 09:30 PM",sell
9,FB,Newstead Jennifer,VP and General Counsel,"Jun 15, 2021",$336.99,250,84247,8890,"Jun 17, 2021, 09:28 PM",sell
10,KOD,EHRLICH JASON,See Remarks,"Jun 15, 2021",$80.90,1454,117624,67133,"Jun 17, 2021, 09:26 PM",sell
11,KOD,BORGESON JOHN A.,See Remarks,"Jun 15, 2021",$80.90,1290,104361,170319,"Jun 17, 2021, 09:24 PM",sell
12,DRNA,Paglia Regina M.,Chief Human Resources Officer,"Jun 16, 2021",$35.63,31564,1124627,369,"Jun 17, 2021, 09:18 PM",sell
13,EVOP,de Groot Steven J,"EVP, General Counsel","Jun 16, 2021",$29.22,1721,50288,9605,"Jun 17, 2021, 09:11 PM",sell
14,WISH,Just Brett,Chief Accounting Officer,"Jun 15, 2021",$11.72,3083,36133,28674,"Jun 17, 2021, 09:09 PM",sell
15,TASK,BCP FC Aggregator L.P.,10% Owner,"Jun 15, 2021",$21.74,6478658,140813636,0,"Jun 17, 2021, 09:08 PM",sell
16,NE,PACIFIC INVESTMENT MANAGEMENT CO LLC,10% Owner,"Jun 15, 2021",$24.79,200,4958,26611372,"Jun 17, 2021, 09:05 PM",sell
17,NE,PACIFIC INVESTMENT MANAGEMENT CO LLC,10% Owner,"Jun 16, 2021",$25.00,3200,80000,26608172,"Jun 17, 2021, 09:05 PM",sell
18,CYRX,Blackstone Freeze Parent L.P.,10% Owner,"Jun 15, 2021",$60.00,200000,12000000,1259019,"Jun 17, 2021, 09:01 PM",sell
19,ADPT,ROBINS CHAD M,CEO and Chairman,"Jun 15, 2021",$38.27,20000,765309,1729361,"Jun 17, 2021, 09:00 PM",sell
20,ADPT,ROBINS CHAD M,CEO and Chairman,"Jun 17, 2021",$39.53,5255,207729,1722716,"Jun 17, 2021, 09:00 PM",sell
21,ADPT,ROBINS CHAD M,CEO and Chairman,"Jun 16, 2021",$38.13,4745,180927,1723716,"Jun 17, 2021, 09:00 PM",sell
22,PRAH,Gaenzle Christopher L,"EVP, CAO & General Counsel","Jun 16, 2021",$166.52,14278,2377506,35000,"Jun 17, 2021, 08:50 PM",sell
23,PRAH,Gaenzle Christopher L,"EVP, CAO & General Counsel","Jun 15, 2021",$168.28,14588,2454836,34702,"Jun 17, 2021, 08:50 PM",sell
24,RUN,STEELE JEANNA,General Counsel,"Jun 17, 2021",$51.60,738,38083,113885,"Jun 17, 2021, 08:39 PM",sell
25,RUN,STEELE JEANNA,General Counsel,"Jun 15, 2021",$43.61,2227,97117,112847,"Jun 17, 2021, 08:39 PM",sell
26,RUN,Philpot Michelle,Chief Accounting Officer,"Jun 17, 2021",$51.66,257,13276,35872,"Jun 17, 2021, 08:39 PM",sell
27,RUN,Philpot Michelle,Chief Accounting Officer,"Jun 15, 2021",$43.66,906,39555,34925,"Jun 17, 2021, 08:39 PM",sell
28,OXLC,Eagle Point Credit Management LLC,10% Owner,"Jun 17, 2021",$245436.54,309094,75862962440,20741725,"Jun 17, 2021, 08:38 PM",sell
29,OXLC,Eagle Point Credit Management LLC,10% Owner,"Jun 16, 2021",$419607.88,453433,190264058112,21015025,"Jun 17, 2021, 08:38 PM",sell
30,OXLC,Eagle Point Credit Management LLC,10% Owner,"Jun 15, 2021",$1266239.41,1258396,1593430606957,21447625,"Jun 17, 2021, 08:38 PM",sell
31,BLFS,Hinson Andrew G,Director,"Jun 15, 2021",$38.35,2500,95875,17675,"Jun 17, 2021, 08:30 PM",sell
32,OMER,Demopulos Gregory A MD,"CHAIRMAN, CEO & PRESIDENT","Jun 17, 2021",$14.90,36857,549169,2026986,"Jun 17, 2021, 08:30 PM",sell
33,OMER,Demopulos Gregory A MD,"CHAIRMAN, CEO & PRESIDENT","Jun 15, 2021",$15.02,36856,553577,2026986,"Jun 17, 2021, 08:30 PM",sell
34,CVNA,GARCIA ERNEST C. II,10% Owner,"Jun 16, 2021",$278.32,50000,13916225,0,"Jun 17, 2021, 08:29 PM",sell
35,CVNA,GARCIA ERNEST C. II,10% Owner,"Jun 15, 2021",$272.01,50000,13600531,0,"Jun 17, 2021, 08:26 PM",sell
36,PRAH,Bonello Michael J.,EVP & CFO,"Jun 16, 2021",$166.47,17216,2865887,12764,"Jun 17, 2021, 08:25 PM",sell
37,PRAH,Bonello Michael J.,EVP & CFO,"Jun 15, 2021",$168.28,31126,5238021,12711,"Jun 17, 2021, 08:25 PM",sell
38,PRAH,SHANNON COLIN,President & CEO,"Jun 16, 2021",$166.49,88045,14658519,58730,"Jun 17, 2021, 08:21 PM",sell
39,PRAH,SHANNON COLIN,President & CEO,"Jun 15, 2021",$168.30,143303,24118440,55836,"Jun 17, 2021, 08:21 PM",sell
40,SITM,VASHIST RAJESH,Chief Executive Officer,"Jun 16, 2021",$117.38,3000,352140,629135,"Jun 17, 2021, 08:20 PM",sell
41,GO,Lindberg Eric J. Jr.,Chief Executive Officer,"Jun 16, 2021",$34.06,25000,851500,47960,"Jun 17, 2021, 08:20 PM",sell
42,W,Oblak Steve,Chief Commercial Officer,"Jun 17, 2021",$305.22,1203,367180,141462,"Jun 17, 2021, 08:12 PM",sell
43,W,Oblak Steve,Chief Commercial Officer,"Jun 16, 2021",$304.10,1981,602416,144165,"Jun 17, 2021, 08:12 PM",sell
44,OM,Brottem John L.,General Counsel,"Jun 17, 2021",$50.00,1445,72250,14672,"Jun 17, 2021, 08:08 PM",sell
45,FOLD,Crowley John F,Chairman & CEO,"Jun 15, 2021",$10.26,22000,225632,877230,"Jun 17, 2021, 08:06 PM",sell
46,ZLAB,Reinhart Harald,Chief Medical Officer,"Jun 17, 2021",$161.64,8000,1293120,0,"Jun 17, 2021, 08:04 PM",sell
47,ZLAB,Reinhart Harald,Chief Medical Officer,"Jun 16, 2021",$162.71,8000,1301680,0,"Jun 17, 2021, 08:04 PM",sell
48,SNOW,Dageville Benoit,President of Products,"Jun 15, 2021",$242.33,61364,14870626,5980891,"Jun 17, 2021, 08:04 PM",sell
49,ZLAB,Fu Tao,President & COO,"Jun 15, 2021",$165.28,10000,1652786,214648,"Jun 17, 2021, 08:01 PM",sell
50,CLDR,Hollison Mick,President,"Jun 15, 2021",$15.79,36682,579176,131175,"Jun 17, 2021, 08:01 PM",sell
51,PINS,Silbermann Benjamin,"Chairman, President, CEO, Co-F","Jun 16, 2021",$70.35,25000,1758690,17445,"Jun 17, 2021, 07:53 PM",sell
52,PINS,Silbermann Benjamin,"Chairman, President, CEO, Co-F","Jun 15, 2021",$69.93,25000,1748246,21982,"Jun 17, 2021, 07:53 PM",sell
53,PINS,Silbermann Benjamin,"Chairman, President, CEO, Co-F","Jun 17, 2021",$72.26,25000,1806390,22800,"Jun 17, 2021, 07:53 PM",sell
54,ZNGA,Siminoff Ellen F,Director,"Jun 15, 2021",$10.44,5000,52200,118087,"Jun 17, 2021, 07:48 PM",sell
55,W,Netzer Thomas,Chief Operating Officer,"Jun 16, 2021",$307.60,9,2768,24217,"Jun 17, 2021, 07:46 PM",sell
56,ZEN,Gennaro Norman,President of Sales,"Jun 15, 2021",$140.41,5000,702050,29847,"Jun 17, 2021, 07:45 PM",sell
57,ZNGA,Ryan Jeffrey Miles,Chief People Officer,"Jun 17, 2021",$10.22,17064,174394,31910,"Jun 17, 2021, 07:45 PM",sell
58,ZNGA,Phillips Phuong Y.,Chief Legal Officer,"Jun 17, 2021",$10.23,4960,50741,296019,"Jun 17, 2021, 07:43 PM",sell
59,ZS,Sinha Amit,President of R&D and CTO,"Jun 16, 2021",$213.46,8113,1731812,261318,"Jun 17, 2021, 07:42 PM",sell
60,ZS,Rajic Dali,Pres Go-To-Mkt/ Chief Rev Ofcr,"Jun 16, 2021",$213.79,11500,2458576,281713,"Jun 17, 2021, 07:41 PM",sell
61,ZS,CANESSA REMO,Chief Financial Officer,"Jun 16, 2021",$213.46,4678,998572,312280,"Jun 17, 2021, 07:41 PM",sell
62,ZNGA,Kim Bernard Jin,President of Publishing,"Jun 16, 2021",$10.20,24000,244800,1002804,"Jun 17, 2021, 07:40 PM",sell
63,ZS,Brown Andrew William Fraser,Director,"Jun 17, 2021",$212.27,10000,2122700,17632,"Jun 17, 2021, 07:40 PM",sell
64,ZNGA,Griffin James Gerard,Chief Financial Officer,"Jun 17, 2021",$10.24,15848,162284,560176,"Jun 17, 2021, 07:38 PM",sell
65,VEEV,Zuppas Eleni Nitsa,Chief Marketing Officer,"Jun 16, 2021",$301.06,425,127950,8719,"Jun 17, 2021, 07:33 PM",sell
66,BILL,Chung Bora,Chief Experience Officer,"Jun 16, 2021",$161.94,20398,3303267,45994,"Jun 17, 2021, 07:24 PM",sell
67,BE,Brennan Susan Seilheimer,EVP & COO,"Jun 17, 2021",$24.69,11397,281423,204771,"Jun 17, 2021, 07:15 PM",sell
68,KTOS,Carrai Phillip D,"President, STC Division","Jun 15, 2021",$26.45,3500,92590,124622,"Jun 17, 2021, 07:15 PM",sell
69,SEM,JACKSON MARTIN F,Executive Vice President,"Jun 16, 2021",$42.61,100000,4261000,1035428,"Jun 17, 2021, 07:14 PM",sell
70,BBW,Leavitt Craig,Director,"Jun 15, 2021",$17.60,1258,22141,79633,"Jun 17, 2021, 07:13 PM",sell
71,BBW,Leavitt Craig,Director,"Jun 16, 2021",$17.29,14002,242095,65631,"Jun 17, 2021, 07:13 PM",sell
72,RMI,DIMELLA ROBERT A,Portfolio Manager,"Jun 17, 2021",$23.16,605,14010,7651,"Jun 17, 2021, 07:13 PM",sell
73,RMI,DIMELLA ROBERT A,Portfolio Manager,"Jun 16, 2021",$23.32,6744,157242,8256,"Jun 17, 2021, 07:13 PM",sell
74,BBW,Dixon Robert L JR,Director,"Jun 16, 2021",$16.52,12111,200074,46720,"Jun 17, 2021, 07:09 PM",sell
75,BBW,Dixon Robert L JR,Director,"Jun 15, 2021",$17.60,1089,19166,58831,"Jun 17, 2021, 07:09 PM",sell
76,BE,SODERBERG SHAWN MARIE,"EVP, GC & Secretary","Jun 16, 2021",$23.79,13014,309572,335764,"Jun 17, 2021, 07:08 PM",sell
77,BE,Sridhar KR,Chairman & CEO,"Jun 16, 2021",$23.92,44356,1060898,422724,"Jun 17, 2021, 07:06 PM",sell
78,COO,Ricupati Agostino,"SVP, Fin & Tax; Chief Actg Off","Jun 17, 2021",$385.55,2200,848217,1101,"Jun 17, 2021, 07:06 PM",sell
79,NSTG,FINNEY ELISHA W,Director,"Jun 16, 2021",$58.70,2760,162012,4650,"Jun 17, 2021, 07:04 PM",sell
80,PRKR,POEHLMAN CYNTHIA,CFO,"Jun 15, 2021",$1.26,25000,31501,25293,"Jun 17, 2021, 07:04 PM",sell
81,RMM,DIMELLA ROBERT A,Portfolio Manager,"Jun 15, 2021",$20.35,1264,25727,14599,"Jun 17, 2021, 07:04 PM",sell
82,RMM,DIMELLA ROBERT A,Portfolio Manager,"Jun 17, 2021",$20.29,9330,189309,0,"Jun 17, 2021, 07:04 PM",sell
83,RMM,DIMELLA ROBERT A,Portfolio Manager,"Jun 16, 2021",$20.34,5269,107152,9330,"Jun 17, 2021, 07:04 PM",sell
84,RDFN,Wiener Adam,President of Real Estate Ops.,"Jun 15, 2021",$60.32,6500,392095,304966,"Jun 17, 2021, 07:02 PM",sell
85,SNAP,Andersen Derek,Chief Financial Officer,"Jun 16, 2021",$61.62,33577,2069024,1231065,"Jun 17, 2021, 07:01 PM",sell
86,SNAP,Andersen Derek,Chief Financial Officer,"Jun 15, 2021",$63.20,18928,1196250,1237749,"Jun 17, 2021, 07:01 PM",sell
87,DLR,KENNEDY KEVIN,Director,"Jun 15, 2021",$162.05,350,56718,0,"Jun 17, 2021, 06:54 PM",sell
88,KDNY,Glicklich Alan,Chief Medical Officer,"Jun 16, 2021",$16.35,20000,326968,0,"Jun 17, 2021, 06:40 PM",sell
89,OPTN,Marino Michael F III,Chief Legal Officer & Corp Sec,"Jun 17, 2021",$3.73,576,2148,98590,"Jun 17, 2021, 06:39 PM",sell
