,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
46,FRAF,Cekovich Ronald L,SVP,"Jun 16, 2021",$30.20,3,91,7919,"Jun 17, 2021, 09:31 AM",buy
47,GBDC,Golub David,Chief Executive Officer,"Jun 16, 2021",$15.67,5000,78363,2233401,"Jun 17, 2021, 09:22 AM",buy
48,GBDC,Golub David,Chief Executive Officer,"Jun 15, 2021",$15.52,5000,77583,2228401,"Jun 17, 2021, 09:22 AM",buy
49,GBDC,Golub Lawrence E,Chairman,"Jun 16, 2021",$15.67,5000,78363,2233401,"Jun 17, 2021, 09:20 AM",buy
50,GBDC,Golub Lawrence E,Chairman,"Jun 15, 2021",$15.52,5000,77583,2228401,"Jun 17, 2021, 09:20 AM",buy
51,BKYI,DEPASQUALE MICHAEL W,Chief Executive Officer,"Jun 16, 2021",$4.00,2000,8000,20458,"Jun 17, 2021, 08:02 AM",buy
52,NHF,DONDERO JAMES D,See Remarks,"Jun 16, 2021",$14.29,2600,37154,2242698,"Jun 16, 2021, 08:58 PM",buy
53,NHF,DONDERO JAMES D,See Remarks,"Jun 15, 2021",$14.38,6000,86280,2240098,"Jun 16, 2021, 08:58 PM",buy
54,NHF,DONDERO JAMES D,See Remarks,"Jun 14, 2021",$14.32,14737,211034,2234098,"Jun 16, 2021, 08:58 PM",buy
55,ARES,BUSH ANTOINETTE COOK,Director,"Jun 14, 2021",$58.79,5106,300182,12395,"Jun 16, 2021, 08:52 PM",buy
56,VERO,Della Penna Domenic,Chief Financial Officer,"Jun 15, 2021",$2.41,40000,96218,66663,"Jun 16, 2021, 08:38 PM",buy
57,RFIL,Holdsworth Mark Keith,Director,"Jun 16, 2021",$7.38,53818,397053,368607,"Jun 16, 2021, 07:51 PM",buy
58,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 14, 2021",$5.82,250,1455,2164500,"Jun 16, 2021, 07:00 PM",buy
59,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 15, 2021",$5.87,250,1467,2164750,"Jun 16, 2021, 07:00 PM",buy
60,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 14, 2021",$5.82,250,1455,2164500,"Jun 16, 2021, 07:00 PM",buy
61,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 15, 2021",$5.87,250,1467,2164750,"Jun 16, 2021, 07:00 PM",buy
62,JANX,Thompson Peter A.,Director,"Jun 15, 2021",$17.00,705853,11999501,2760366,"Jun 16, 2021, 06:20 PM",buy
63,JANX,Reardon Tighe,Acting Chief Financial Officer,"Jun 15, 2021",$17.00,629411,10699987,4479492,"Jun 16, 2021, 06:11 PM",buy
64,SIG,Branch Andre,Director,"Jun 15, 2021",$73.58,2700,198665,3428,"Jun 16, 2021, 05:23 PM",buy
65,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 16, 2021",$899.79,73,65685,81649,"Jun 16, 2021, 05:09 PM",buy
66,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 15, 2021",$915.00,75,68625,81576,"Jun 16, 2021, 05:09 PM",buy
67,CBKM,Lober Ralph J II,CEO & President,"Jun 16, 2021",$19.85,66,1310,36538,"Jun 16, 2021, 05:00 PM",buy
68,UHAL,Willow Grove Holdings LP,10% Owner,"Jun 15, 2021",$551.76,81810,45139307,831775,"Jun 16, 2021, 04:41 PM",buy
69,UHAL,SHOEN EDWARD J,Chairman/President,"Jun 15, 2021",$551.76,81810,45139307,8424659,"Jun 16, 2021, 04:41 PM",buy
70,KFS,Fitzgerald John Taylor Maloney,President and CEO,"Jun 15, 2021",$5.15,404,2081,1941293,"Jun 16, 2021, 04:25 PM",buy
71,CUBI,Sidhu Samvir S.,Head of Corporate Development,"Jun 14, 2021",$39.53,6000,237184,67926,"Jun 16, 2021, 03:35 PM",buy
72,SNPX,Alkon Daniel L.,Chief Scientific Officer,"Jun 14, 2021",$8.26,10000,82600,11484,"Jun 16, 2021, 01:01 PM",buy
73,SNPX,Silverman Joshua,Director,"Jun 14, 2021",$8.30,10000,83000,15000,"Jun 16, 2021, 01:00 PM",buy
